Title;Project;Description
[P0] Выбрать нейтральное имя продукта;Universal Platform Roadmap;Определить рабочее нейтральное название новой универсальной платформы вместо company-specific бренда. Результат: финальное имя для platform edition и временное имя для dev ветки.
[P0] Сформировать продуктовое позиционирование;Universal Platform Roadmap;Описать продукт как универсальную B2B платформу класса Work Management + Knowledge Base + Team Communication. Зафиксировать целевую аудиторию и ключевые сценарии использования.
[P0] Определить продуктовые столпы;Universal Platform Roadmap;Зафиксировать 3 pillar направления: Tasks, Knowledge, Chat. Результат должен лечь в архитектурную документацию и roadmap.
[P0] Подготовить ADR platform-first;Universal Platform Roadmap;Сформировать архитектурное решение по переходу от специализированного портала к универсальной платформе. Зафиксировать platform core, customization layer и tenant setup.
[P0] Провести аудит company-specific логики;Universal Platform Roadmap;Составить список всех company-specific элементов в коде: логотип, тексты, помощь, footer, branding, seed data, термины и жёсткие допущения.
[P0] Зафиксировать bounded contexts;Universal Platform Roadmap;Определить границы доменов: Organization, Projects, Teams, Work, Knowledge, Chat, Notifications, Permissions, Branding.
[P1] Добавить OrganizationSettings в Prisma;Universal Platform Roadmap;Создать модель OrganizationSettings или TenantSettings. Поля: organizationName, productName, logoUrl, supportEmail, copyrightText, brand colors, feature flags.
[P1] Реализовать API organization settings;Universal Platform Roadmap;Сделать backend endpoints для чтения и обновления настроек организации и брендинга. Ограничить доступ администраторами.
[P1] Подготовить seed default organization config;Universal Platform Roadmap;Добавить безопасную базовую конфигурацию организации для чистой установки продукта.
[P1] Переделать BrandBlock на конфиг;Universal Platform Roadmap;Убрать жёсткую привязку к текущему бренду. Компонент должен брать название, логотип и подзаголовок из настроек организации.
[P1] Убрать hardcoded branding из layout;Universal Platform Roadmap;Переделать layout, login, footer и shared blocks так, чтобы они работали от organization settings.
[P1] Переделать help page в нейтральную;Universal Platform Roadmap;Переписать страницу справки так, чтобы она описывала универсальную платформу, а не текущую компанию и её процесс.
[P1] Вынести support email и ссылки в конфиг;Universal Platform Roadmap;Убрать жёсткие email и ссылки разработчика из UI. Данные должны приходить из organization settings.
[P1] Обновить README под нейтральный продукт;Universal Platform Roadmap;Переписать README и сопутствующую документацию в platform-first терминологии без company-specific описаний.
[P2] Добавить Project в Prisma;Universal Platform Roadmap;Создать сущность Project как контейнер проектной работы. Минимальные поля: id, name, description, status, createdAt, updatedAt, archivedAt.
[P2] Добавить ProjectMember;Universal Platform Roadmap;Создать связь пользователь-проект с возможностью хранения project role и membership metadata.
[P2] Добавить Team;Universal Platform Roadmap;Создать сущность Team как рабочую группу пользователей, которая может быть привязана к одному или нескольким проектам.
[P2] Добавить TeamMember;Universal Platform Roadmap;Создать связь пользователь-команда с ролью внутри команды и membership metadata.
[P2] Добавить ProjectTeam;Universal Platform Roadmap;Создать таблицу связи между проектом и командой для model проект -> команды.
[P2] Добавить projectId в Card;Universal Platform Roadmap;Сделать карточку project-scoped сущностью. Подготовить миграцию existing cards в default project.
[P2] Добавить projectId в Sprint;Universal Platform Roadmap;Сделать спринт project-scoped сущностью. Подготовить миграцию existing sprints в default project.
[P2] Создать default project для миграции;Universal Platform Roadmap;Подготовить миграционный сценарий, при котором все текущие карточки и спринты переезжают в проект по умолчанию.
[P2] Создать backend модуль projects;Universal Platform Roadmap;Реализовать CRUD проектов, чтение состава участников, архивирование и базовые проверки доступа.
[P2] Создать backend модуль teams;Universal Platform Roadmap;Реализовать CRUD команд, управление составом команды, привязку команд к проектам.
[P2] Добавить membership access checks;Universal Platform Roadmap;Все проектные сущности должны проверять не только роль, но и членство пользователя в проекте.
[P2] Добавить project switcher во frontend;Universal Platform Roadmap;Реализовать выбор активного проекта и прокинуть project context в ключевые разделы UI.
